site_number,site,gacc,state,grup,lat,lng,active,currency,url
119,Glendora Motorway,SOCC,CA,Angeles NF,34.165833333333,-117.86138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Glendora Motorway&gacc=SOCC&state=CA&grup=Angeles NF
120,"Glendora Ridge, Glendora",SOCC,CA,LA County,34.165277777778,-117.865,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Glendora Ridge, Glendora&gacc=SOCC&state=CA&grup=LA County"
121,Gold Creek,SOCC,CA,Angeles NF,34.321944444444,-118.31777777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Gold Creek&gacc=SOCC&state=CA&grup=Angeles NF
122,Grant Grove,SOCC,CA,Sequoia-Kings NP,36.747222222222,-118.97666666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Grant Grove&gacc=SOCC&state=CA&grup=Sequoia-Kings NP
123,Grasshopper,NOCC,CA,CalFire Lassen-Modoc Unit,40.766388888889,-120.73027777778,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Grasshopper&gacc=NOCC&state=CA&grup=CalFire Lassen-Modoc Unit
124,Greenhorn Yreka,NOCC,CA,CalFire Siskiyou Unit,41.711666666667,-122.65888888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Greenhorn Yreka&gacc=NOCC&state=CA&grup=CalFire Siskiyou Unit
125,Groveland,SOCC,CA,Stanislaus NF,37.698333333333,-120.11694444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Groveland&gacc=SOCC&state=CA&grup=Stanislaus NF
126,Happy Camp,NOCC,CA,CalFire Lassen-Modoc Unit,41.446666666667,-121.17027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Happy Camp&gacc=NOCC&state=CA&grup=CalFire Lassen-Modoc Unit
127,Happy Canyon,SOCC,CA,PGE-SOCC,34.665,-119.93944444444,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Happy Canyon&gacc=SOCC&state=CA&grup=PGE-SOCC
128,Harris Grade,SOCC,CA,Santa Barbara County FD,34.691388888889,-120.44555555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Harris Grade&gacc=SOCC&state=CA&grup=Santa Barbara County FD
129,Haskell Peak Road Manzanita,NOCC,CA,Tahoe NF,39.649722222222,-120.61805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Haskell Peak Road Manzanita&gacc=NOCC&state=CA&grup=Tahoe NF
130,Hastings New Growth,SOCC,CA,CDF BEU,36.384722222222,-121.55027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hastings New Growth&gacc=SOCC&state=CA&grup=CDF BEU
